# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Molecular Function	GO:0008170	N-methyltransferase activity	37	3.765532e-3	1.000000e+0	4.247927e-1	2.062233e+0	8.728402e+0	18	8.728402e-3	1.800000e-2	20	1.403888e-4	5.859829e-1	2.929914e-2	2.715471e+0	6.260425e+0	17	93	1.344937e-2	1.827957e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	ASH2L,CAMKMT,CARM1,CXXC1,DIMT1,DOT1L,KMT2E,KMT5B,METTL16,NSD2,PRMT5,SETD3,SETDB2,TRMT1,VCPKMT,WDR77,WDR82
GO Molecular Function	GO:0003730	mRNA 3'-UTR binding	38	4.152138e-3	1.000000e+0	4.560796e-1	2.214162e+0	6.774571e+0	15	6.774571e-3	1.500000e-2	14	2.502951e-5	1.044732e-1	7.462370e-3	3.376187e+0	4.442882e+0	15	66	1.186709e-2	2.272727e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	ANGEL2,CIRBP,CPEB4,CRYZ,DDX5,FXR1,GEMIN5,HNRNPD,PUM1,RNF40,RPL5,SECISBP2L,TARDBP,TP53,ZFP36L1
GO Molecular Function	GO:0070653	high-density lipoprotein particle receptor binding	39	4.404435e-3	1.000000e+0	4.713875e-1	2.062525e+1	9.696850e-2	2	9.696850e-5	2.000000e-3	418	1.886691e-1	1.000000e+0	1.000000e+0	4.951741e+0	2.019492e-1	1	3	7.911392e-4	3.333333e-1	.,.	APOA2
GO Molecular Function	GO:0000033	alpha-1,3-mannosyltransferase activity	40	4.451879e-3	1.000000e+0	4.645536e-1	2.051142e+1	9.750668e-2	2	9.750668e-5	2.000000e-3	77	1.297572e-2	1.000000e+0	7.033851e-1	9.903481e+0	2.019492e-1	2	3	1.582278e-3	6.666667e-1	.,.	ALG3,ALG8
GO Molecular Function	GO:0008988	rRNA (adenine-N6-)-methyltransferase activity	41	4.530902e-3	1.000000e+0	4.612679e-1	2.032579e+1	9.839718e-2	2	9.839718e-5	2.000000e-3	57	4.528154e-3	1.000000e+0	3.315880e-1	1.485522e+1	1.346328e-1	2	2	1.582278e-3	1.000000e+0	.,.	DIMT1,METTL16
GO Molecular Function	GO:0031862	prostanoid receptor binding	42	4.945307e-3	1.000000e+0	4.914693e-1	1.942631e+1	1.029532e-1	2	1.029532e-4	2.000000e-3	57	4.528154e-3	1.000000e+0	3.315880e-1	1.485522e+1	1.346328e-1	2	2	1.582278e-3	1.000000e+0	.,.	FEM1A,RPGRIP1L
GO Molecular Function	GO:0018169	ribosomal S6-glutamic acid ligase activity	43	4.962679e-3	1.000000e+0	4.817261e-1	2.010042e+2	4.975022e-3	1	4.975022e-6	1.000000e-3	171	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.	UBE2M
GO Molecular Function	GO:0016407	acetyltransferase activity	44	5.198316e-3	1.000000e+0	4.931312e-1	2.097635e+0	7.627637e+0	16	7.627637e-3	1.600000e-2	49	2.761220e-3	1.000000e+0	2.352109e-1	2.228283e+0	6.731640e+0	15	100	1.186709e-2	1.500000e-1	.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.	CASD1,CRAT,ELP4,EPC1,ESCO2,HCFC1,KAT6A,KAT6B,KAT7,NAA15,NAA60,NAGS,SRCAP,SUPT7L,TAF5
GO Molecular Function	GO:0030374	ligand-dependent nuclear receptor transcription coactivator activity	45	5.210166e-3	1.000000e+0	4.832718e-1	2.523759e+0	4.358578e+0	11	4.358578e-3	1.100000e-2	28	4.814200e-4	1.000000e+0	7.176597e-2	3.204067e+0	3.433136e+0	11	51	8.702532e-3	2.156863e-1	.,.,.,.,.,.,.,.,.,.,.	ACTN1,CARM1,DCAF6,MED1,MED13,MED24,MED4,PPRC1,SS18,THRAP3,WDR77
GO Molecular Function	GO:0033749	histone demethylase activity (H4-R3 specific)	46	5.338246e-3	1.000000e+0	4.843878e-1	1.868275e+2	5.352531e-3	1	5.352531e-6	1.000000e-3	171	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.	JMJD6
GO Molecular Function	GO:0033746	histone demethylase activity (H3-R2 specific)	46	5.338246e-3	1.000000e+0	4.843878e-1	1.868275e+2	5.352531e-3	1	5.352531e-6	1.000000e-3	171	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.	JMJD6
GO Molecular Function	GO:0030619	U1 snRNA binding	48	5.605868e-3	1.000000e+0	4.874769e-1	8.510044e+0	3.525246e-1	3	3.525246e-4	3.000000e-3	69	8.672872e-3	1.000000e+0	5.246459e-1	6.366524e+0	4.712148e-1	3	7	2.373418e-3	4.285714e-1	.,.,.	GEMIN5,PRPF8,SNRPA
GO Molecular Function	GO:0008073	ornithine decarboxylase inhibitor activity	49	5.608319e-3	1.000000e+0	4.777372e-1	1.820025e+1	1.098886e-1	2	1.098886e-4	2.000000e-3	30	1.156145e-3	1.000000e+0	1.608583e-1	1.114142e+1	2.692656e-1	3	4	2.373418e-3	7.500000e-1	.,.	ENSG00000273734,OAZ1,OAZ3
GO Molecular Function	GO:0070037	rRNA (pseudouridine) methyltransferase activity	50	5.894055e-3	1.000000e+0	4.920357e-1	1.691625e+2	5.911476e-3	1	5.911476e-6	1.000000e-3	171	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.	EMG1
GO Molecular Function	GO:0043024	ribosomal small subunit binding	51	6.239664e-3	1.000000e+0	5.106737e-1	4.388518e+0	1.139337e+0	5	1.139337e-3	5.000000e-3	33	1.642973e-3	1.000000e+0	2.078112e-1	5.305436e+0	9.424296e-1	5	14	3.955696e-3	3.571429e-1	.,.,.,.,.	ABCE1,DHX29,ERAL1,NPM1,PTCD3
GO Molecular Function	GO:0047220	galactosylxylosylprotein 3-beta-galactosyltransferase activity	52	6.263520e-3	1.000000e+0	5.027679e-1	1.591546e+2	6.283199e-3	1	6.283199e-6	1.000000e-3	171	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.	B3GALT6
GO Molecular Function	GO:0044547	DNA topoisomerase binding	53	6.316763e-3	1.000000e+0	4.974749e-1	8.146602e+0	3.682517e-1	3	3.682517e-4	3.000000e-3	46	2.745269e-3	1.000000e+0	2.491033e-1	8.913133e+0	3.365820e-1	3	5	2.373418e-3	6.000000e-1	.,.,.	NCL,SRSF1,TOPORS
GO Molecular Function	GO:0005090	Sar guanyl-nucleotide exchange factor activity	54	6.504005e-3	1.000000e+0	5.027355e-1	1.532514e+2	6.525227e-3	1	6.525227e-6	1.000000e-3	171	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.	PREB
GO Molecular Function	GO:0042054	histone methyltransferase activity	55	6.637449e-3	1.000000e+0	5.037220e-1	2.240887e+0	5.801275e+0	13	5.801275e-3	1.300000e-2	27	4.785639e-4	1.000000e+0	7.398243e-2	3.021401e+0	3.971667e+0	12	59	9.493671e-3	2.033898e-1	.,.,.,.,.,.,.,.,.,.,.,.,.	ASH2L,CARM1,CXXC1,DOT1L,KMT2E,KMT5B,NSD2,NTMT1,PRMT5,SETD3,SETDB2,WDR82
GO Molecular Function	GO:0015410	manganese-transporting ATPase activity	56	6.793794e-3	1.000000e+0	5.063803e-1	1.466931e+2	6.816954e-3	1	6.816954e-6	1.000000e-3	171	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.	ATP13A1
GO Molecular Function	GO:0060228	phosphatidylcholine-sterol O-acyltransferase activator activity	57	6.944446e-3	1.000000e+0	5.085284e-1	1.628649e+1	1.228012e-1	2	1.228012e-4	2.000000e-3	628	3.417650e-1	1.000000e+0	1.000000e+0	2.475870e+0	4.038984e-1	1	6	7.911392e-4	1.666667e-1	.,.	APOA2
GO Molecular Function	GO:0000030	mannosyltransferase activity	58	7.137369e-3	1.000000e+0	5.136445e-1	4.245867e+0	1.177616e+0	5	1.177616e-3	5.000000e-3	96	1.990705e-2	1.000000e+0	8.655419e-1	3.094838e+0	1.615594e+0	5	24	3.955696e-3	2.083333e-1	.,.,.,.,.	ALG1,ALG12,ALG3,ALG8,PIGV
GO Molecular Function	GO:0033823	procollagen glucosyltransferase activity	59	7.172726e-3	1.000000e+0	5.074400e-1	1.389169e+2	7.198548e-3	1	7.198548e-6	1.000000e-3	171	6.731640e-2	1.000000e+0	1.000000e+0	1.485522e+1	6.731640e-2	1	1	7.911392e-4	1.000000e+0	.	PLOD3
GO Molecular Function	GO:0008448	N-acetylglucosamine-6-phosphate deacetylase activity	60	7.273097e-3	1.000000e+0	5.059651e-1	1.369929e+2	7.299649e-3	1	7.299649e-6	1.000000e-3	329	1.301046e-1	1.000000e+0	1.000000e+0	7.427611e+0	1.346328e-1	1	2	7.911392e-4	5.000000e-1	.	ENSG00000259784
