PeakID (cmd=annotatePeaks.pl top_1000_peaks_GREAT_noheader.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-867	chr11	124800222	124800532	+	1000	NA	promoter-TSS (NM_001312919)	promoter-TSS (NM_001312919)	29	NM_001352400	79684	Hs.146079	NM_024631	ENSG00000120458	MSANTD2	C11orf61	Myb/SANT DNA binding domain containing 2	protein-coding
1-822	chr19	2151417	2151692	+	1000	NA	promoter-TSS (NM_001261826)	promoter-TSS (NM_001261826)	12	NM_001261826	8943	Hs.512815	NM_003938	ENSG00000065000	AP3D1	ADTD|HPS10|hBLVR	adaptor related protein complex 3 subunit delta 1	protein-coding
1-321	chr20	32109288	32109919	+	1000	NA	promoter-TSS (NM_014742)	promoter-TSS (NM_014742)	-111	NM_014742	9777	Hs.654665	NM_014742	ENSG00000101337	TM9SF4	dJ836N17.2	transmembrane 9 superfamily member 4	protein-coding
1-311	chr1	202348577	202348982	+	1000	NA	promoter-TSS (NM_001167857)	promoter-TSS (NM_001167857)	77	NM_001167858	4660	Hs.444403	NM_002481	ENSG00000077157	PPP1R12B	MYPT2|PP1bp55	protein phosphatase 1 regulatory subunit 12B	protein-coding
1-235	chr6	42217702	42217978	+	1000	NA	promoter-TSS (NM_018141)	promoter-TSS (NM_018141)	21	NM_018141	55173	Hs.380887	NM_018141	ENSG00000048544	MRPS10	MRP-S10|PNAS-122	mitochondrial ribosomal protein S10	protein-coding
1-175	chr1	153633909	153634275	+	1000	NA	promoter-TSS (NM_015607)	promoter-TSS (NM_015607)	26	NM_015607	26097	Hs.611057	NM_015607	ENSG00000160679	CHTOP	C10orf77|C1orf77|FL-SRAG|FOP|SRAG|SRAG-3|SRAG-5|pp7704	chromatin target of PRMT1	protein-coding
1-957	chr17	28951756	28952228	+	1000	NA	promoter-TSS (NM_020889)	promoter-TSS (NM_020889)	-474	NM_020889	57649	Hs.444173	NM_020889	ENSG00000109118	PHF12	PF1	PHD finger protein 12	protein-coding
1-677	chr10	32346322	32346840	+	1000	NA	promoter-TSS (NR_104163)	promoter-TSS (NR_104163)	577	NM_001272019	80314	Hs.167805	NM_025209	ENSG00000120616	EPC1	Epl1	enhancer of polycomb homolog 1	protein-coding
1-303	chr3	196568529	196568859	+	1000	NA	promoter-TSS (NM_001345917)	promoter-TSS (NM_001345917)	-20	NM_001345906	348793	Hs.385865	NM_182627	ENSG00000185798	WDR53	-	WD repeat domain 53	protein-coding
1-444	chr6	30617750	30618035	+	1000	NA	promoter-TSS (NM_002714).5	promoter-TSS (NM_002714).5	52	NM_014046	28973	Hs.655329	NM_014046	ENSG00000204568	MRPS18B	C6orf14|HSPC183|HumanS18a|MRP-S18-2|MRPS18-2|PTD017|S18amt	mitochondrial ribosomal protein S18B	protein-coding
1-476	chr18	62526656	62526960	+	1000	NA	intron (NR_126534, intron 1 of 14)	CpG	3783	NR_126534	54877	Hs.114191	NM_017742	ENSG00000141664	ZCCHC2	C18orf49	zinc finger CCHC-type containing 2	protein-coding
1-877	chr7	94509929	94510241	+	1000	NA	exon (NM_022900, exon 1 of 18)	exon (NM_022900, exon 1 of 18)	276	NM_001363428	64921	Hs.260041	NM_022900	ENSG00000127995	CASD1	C7orf12|NBLA04196|SOAT	CAS1 domain containing 1	protein-coding
1-675	chr16	2513808	2514089	+	1000	NA	promoter-TSS (NM_001694)	promoter-TSS (NM_001694)	-4	NM_001694	527	Hs.389107	NM_001694	ENSG00000185883	ATP6V0C	ATP6C|ATP6L|ATPL|VATL|VPPC|Vma3	ATPase H+ transporting V0 subunit c	protein-coding
1-557	chr12	53675738	53676011	+	1000	NA	promoter-TSS (NM_001330269)	promoter-TSS (NM_001330269)	209	NR_163137	517	Hs.524464	NM_005176	ENSG00000135390	ATP5MC2	ATP5A|ATP5G2	ATP synthase membrane subunit c locus 2	protein-coding
1-151	chr19	13150204	13150509	+	1000	NA	promoter-TSS (NM_004907)	promoter-TSS (NM_004907)	19	NM_001271609	8677	Hs.43812	NM_003765	ENSG00000104915	STX10	SYN10|hsyn10	syntaxin 10	protein-coding
1-630	chr2	180006929	180007232	+	1000	NA	5' UTR (NM_020943, exon 1 of 20)	5' UTR (NM_020943, exon 1 of 20)	217	NM_020943	57703	Hs.311363	NM_020943	ENSG00000163510	CWC22	EIF4GL|NCM|fSAPb	CWC22 spliceosome associated protein homolog	protein-coding
1-332	chr22	38506657	38507058	+	1000	NA	promoter-TSS (NM_001098504)	promoter-TSS (NM_001098504)	-546	NM_006386	10521	Hs.528305	NM_006386	ENSG00000100201	DDX17	P72|RH70	DEAD-box helicase 17	protein-coding
1-842	chr2	127526327	127526618	+	1000	NA	promoter-TSS (NM_017969)	promoter-TSS (NM_017969)	17	NM_017969	55677	Hs.469879	NM_017969	ENSG00000163166	IWS1	-	interacts with SUPT6H, CTD assembly factor 1	protein-coding
1-766	chr1	55215198	55215485	+	1000	NA	promoter-TSS (NR_038320)	promoter-TSS (NR_038320)	23	NM_015306	23358	Hs.477009	NM_015306	ENSG00000162402	USP24	-	ubiquitin specific peptidase 24	protein-coding
1-236	chr17	44689589	44689876	+	1000	NA	promoter-TSS (NM_001099225)	promoter-TSS (NM_001099225)	44	NM_144609	124808	Hs.579115	NM_144609	ENSG00000180329	CCDC43	-	coiled-coil domain containing 43	protein-coding
1-897	chr5	66144476	66145004	+	1000	NA	promoter-TSS (NM_139168)	promoter-TSS (NM_139168)	-95	NM_139168	140890	Hs.49367	NM_139168	ENSG00000153914	SREK1	SFRS12|SRrp508|SRrp86	splicing regulatory glutamic acid and lysine rich protein 1	protein-coding
1-795	chr12	50763808	50764082	+	1000	NA	promoter-TSS (NM_005171)	promoter-TSS (NM_005171)	-156	NM_005171	466	Hs.648565	NM_005171	ENSG00000123268	ATF1	EWS-ATF1|FUS/ATF-1|TREB36	activating transcription factor 1	protein-coding
1-868	chr10	73625998	73626263	+	1000	NA	promoter-TSS (NM_001350995)	promoter-TSS (NM_001350995)	-149	NM_001350995	159195	Hs.657355	NM_152586	ENSG00000166348	USP54	C10orf29|bA137L10.3|bA137L10.4	ubiquitin specific peptidase 54	protein-coding
1-342	chr10	110919131	110919391	+	1000	NA	promoter-TSS (NR_136749)	promoter-TSS (NR_136749)	105	NM_001243783	92482	Hs.232543	NM_001195304	ENSG00000214413	BBIP1	BBIP10|BBS18|NCRNA00081|bA348N5.3	BBSome interacting protein 1	protein-coding
1-637	chr1	100249653	100249930	+	1000	NA	promoter-TSS (NM_001918)	promoter-TSS (NM_001918)	43	NM_001918	1629	Hs.709187	NM_001918	ENSG00000137992	DBT	BCATE2|BCKAD-E2|BCKADE2|BCOADC-E2|E2|E2B	dihydrolipoamide branched chain transacylase E2	protein-coding
1-823	chr17	42980444	42980736	+	1000	NA	promoter-TSS (NM_025267)	promoter-TSS (NM_025267)	25	NM_001321381	146923	Hs.632255	NM_173079	ENSG00000198863	RUNDC1	-	RUN domain containing 1	protein-coding
1-806	chr3	194672388	194672638	+	1000	NA	promoter-TSS (NM_018385)	promoter-TSS (NM_018385)	-322	NM_018385	55341	Hs.744061	NM_018385	ENSG00000041802	LSG1	-	large 60S subunit nuclear export GTPase 1	protein-coding
1-258	chr17	18039011	18039304	+	1000	NA	promoter-TSS (NM_024052)	promoter-TSS (NM_024052)	11	NM_145691	91647	Hs.528889	NM_145691	ENSG00000171953	ATPAF2	ATP12|ATP12p|LP3663|MC5DN1	ATP synthase mitochondrial F1 complex assembly factor 2	protein-coding
1-331	chr7	93232226	93232509	+	1000	NA	promoter-TSS (NM_017667)	promoter-TSS (NM_017667)	1	NM_017667	55610	Hs.202424	NM_017667	ENSG00000004766	VPS50	CCDC132|VPS54L	VPS50 subunit of EARP/GARPII complex	protein-coding
1-561	chr1	154220360	154220778	+	1000	NA	promoter-TSS (NM_001297717)	promoter-TSS (NM_001297717)	21	NM_138740	25912	Hs.287471	NM_015449	ENSG00000143612	C1orf43	HSPC012|NICE-3|NICE3|NS5ATP4|S863-3	chromosome 1 open reading frame 43	protein-coding
1-13	chr3	14651342	14651841	+	1000	NA	promoter-TSS (NR_135523)	promoter-TSS (NR_135523)	-155	NR_135523	51244	Hs.517820	NM_016474	ENSG00000154781	CCDC174	C3orf19|HSPC212|IHPM|IHPMR	coiled-coil domain containing 174	protein-coding
1-407	chr17	48047608	48047976	+	1000	NA	promoter-TSS (NM_001330261)	promoter-TSS (NM_001330261)	-567	NM_001330262	4779	Hs.514284	NM_003204	ENSG00000082641	NFE2L1	LCR-F1|NRF1|TCF11	nuclear factor, erythroid 2 like 1	protein-coding
1-148	chr2	74482866	74483230	+	1000	NA	promoter-TSS (NM_022492)	promoter-TSS (NM_022492)	-33	NM_022492	64427	Hs.557709	NM_022492	ENSG00000115282	TTC31	-	tetratricopeptide repeat domain 31	protein-coding
1-672	chr7	131327771	131328145	+	1000	NA	promoter-TSS (NM_013255)	promoter-TSS (NM_013255)	82	NM_013255	4289	Hs.44693	NM_013255	ENSG00000128585	MKLN1	TWA2	muskelin 1	protein-coding
1-977	chr4	83455938	83456195	+	1000	NA	promoter-TSS (NM_133636)	promoter-TSS (NM_133636)	8	NM_016067	51023	Hs.334772	NM_016067	ENSG00000163319	MRPS18C	CGI-134|MRP-S18-1|MRP-S18-c|MRPS18-1|S18mt-c|mrps18-c	mitochondrial ribosomal protein S18C	protein-coding
1-664	chr22	40951267	40951598	+	1000	NA	promoter-TSS (NM_014248)	promoter-TSS (NM_014248)	54	NM_014248	9978	Hs.474949	NM_014248	ENSG00000100387	RBX1	BA554C12.1|RNF75|ROC1	ring-box 1	protein-coding
1-883	chr22	19941671	19941933	+	1000	NA	promoter-TSS (NM_006440)	promoter-TSS (NM_006440)	16	NM_001282512	10587	Hs.443430	NM_006440	ENSG00000184470	TXNRD2	GCCD5|SELZ|TR|TR-BETA|TR3|TRXR2	thioredoxin reductase 2	protein-coding
1-477	chr7	98106732	98107046	+	1000	NA	promoter-TSS (NM_014916)	promoter-TSS (NM_014916)	27	NM_014916	22853	Hs.444179	NM_014916	ENSG00000164715	LMTK2	AATYK2|BREK|KPI-2|KPI2|LMR2|PPP1R100|cprk|hBREK	lemur tyrosine kinase 2	protein-coding
1-436	chr4	176195410	176195682	+	1000	NA	promoter-TSS (NM_144644)	promoter-TSS (NM_144644)	39	NM_144644	132851	Hs.481235	NM_144644	ENSG00000150628	SPATA4	SPEF1B|TSARG2	spermatogenesis associated 4	protein-coding
1-455	chr6	36594232	36594740	+	1000	NA	intron (NM_003017, intron 1 of 5)	CpG	124	NM_003017	6428	Hs.405144	NM_003017	ENSG00000112081	SRSF3	SFRS3|SRp20	serine and arginine rich splicing factor 3	protein-coding
1-543	chr19	17267330	17267615	+	1000	NA	promoter-TSS (NM_014173)	promoter-TSS (NM_014173)	29	NM_014173	29086	Hs.190722	NM_014173	ENSG00000105393	BABAM1	C19orf62|HSPC142|MERIT40|NBA1	BRISC and BRCA1 A complex member 1	protein-coding
1-12	chr7	103149313	103149769	+	1000	NA	promoter-TSS (NM_198990)	promoter-TSS (NM_198990)	-442	NM_198990	222236	Hs.324271	NM_198990	ENSG00000161048	NAPEPLD	C7orf18|FMP30|NAPE-PLD	N-acyl phosphatidylethanolamine phospholipase D	protein-coding
1-156	chr2	73828679	73828962	+	1000	NA	promoter-TSS (NM_001353969)	promoter-TSS (NM_001353969)	-91	NM_001353967	10617	Hs.469018	NM_006463	ENSG00000124356	STAMBP	AMSH|MICCAP	STAM binding protein	protein-coding
1-493	chr1	112619704	112620029	+	1000	NA	promoter-TSS (NM_138729)	promoter-TSS (NM_138729)	34	NM_006135	829	Hs.744974	NM_006135	ENSG00000116489	CAPZA1	CAPPA1|CAPZ|CAZ1	capping actin protein of muscle Z-line subunit alpha 1	protein-coding
1-60	chr17	44014807	44015136	+	1000	NA	promoter-TSS (NM_032376)	promoter-TSS (NM_032376)	-8	NM_032376	84336	Hs.514211	NM_032376	ENSG00000091947	TMEM101	-	transmembrane protein 101	protein-coding
1-458	chr1	155857173	155857424	+	1000	NA	promoter-TSS (NM_001282860)	promoter-TSS (NM_001282860)	-3	NM_001282860	54856	Hs.656361	NM_032292	ENSG00000116580	GON4L	GON-4|GON4|YARP	gon-4 like	protein-coding
1-889	chr5	149549470	149549758	+	1000	NA	intron (NM_001271742, intron 1 of 9)	intron (NM_001271742, intron 1 of 9)	751	NM_001271742	1452	Hs.529862	NM_001892	ENSG00000113712	CSNK1A1	CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975	casein kinase 1 alpha 1	protein-coding
1-70	chr1	206612277	206612603	+	1000	NA	promoter-TSS (NM_006893)	promoter-TSS (NM_006893)	25	NM_006893	1939	Hs.497581	NM_006893	ENSG00000143486	EIF2D	HCA56|LGTN	eukaryotic translation initiation factor 2D	protein-coding
1-556	chr19	12945750	12946061	+	1000	NA	promoter-TSS (NM_001270362)	promoter-TSS (NM_001270362)	43	NM_005053	5886	Hs.643267	NM_005053	ENSG00000179262	RAD23A	HHR23A|HR23A	RAD23 homolog A, nucleotide excision repair protein	protein-coding
1-106	chr6	110874675	110874954	+	1000	NA	promoter-TSS (NM_001634)	promoter-TSS (NM_001634)	30	NM_001287216	262	Hs.159118	NM_001634	ENSG00000123505	AMD1	ADOMETDC|AMD|SAMDC	adenosylmethionine decarboxylase 1	protein-coding
1-280	chr17	996972	997298	+	1000	NA	promoter-TSS (NM_013337)	promoter-TSS (NM_013337)	6	NM_013337	29928	Hs.745034	NM_013337	ENSG00000177370	TIMM22	TEX4|TIM22	translocase of inner mitochondrial membrane 22	protein-coding
1-615	chr10	124801698	124802003	+	1000	NA	promoter-TSS (NM_032182)	promoter-TSS (NM_032182)	31	NM_032182	23172	Hs.280695	NM_032182	ENSG00000165660	ABRAXAS2	ABRO1|FAM175B|KIAA0157	abraxas 2, BRISC complex subunit	protein-coding
1-794	chr19	33521605	33521884	+	1000	NA	promoter-TSS (NM_000285)	promoter-TSS (NM_000285)	47	NM_001166056	5184	Hs.36473	NM_000285	ENSG00000124299	PEPD	PROLIDASE	peptidase D	protein-coding
1-841	chr19	15432586	15432917	+	1000	NA	promoter-TSS (NM_001330395)	promoter-TSS (NM_001330395)	-217	NM_001330395	58525	Hs.442138	NM_021241	ENSG00000011451	WIZ	ZNF803	WIZ zinc finger	protein-coding
1-28	chr9	122093247	122093543	+	1000	NA	exon (NM_001139442, exon 1 of 9)	exon (NM_001139442, exon 1 of 9)	211	NM_194252	158135	Hs.438937	NM_194252	ENSG00000175764	TTLL11	C9orf20|bA244O19.1	tubulin tyrosine ligase like 11	protein-coding
1-74	chr1	35557500	35557849	+	1000	NA	promoter-TSS (NM_024874)	promoter-TSS (NM_024874)	-118	NM_001014841	23154	Hs.121870	NM_014284	ENSG00000020129	NCDN	-	neurochondrin	protein-coding
1-612	chr1	26787721	26788027	+	1000	NA	promoter-TSS (NM_017837)	promoter-TSS (NM_017837)	-89	NM_017837	55650	Hs.259605	NM_017837	ENSG00000060642	PIGV	GPI-MT-II|HPMRS1|PIG-V	phosphatidylinositol glycan anchor biosynthesis class V	protein-coding
1-222	chr1	161177304	161177619	+	1000	NA	promoter-TSS (NM_003779)	promoter-TSS (NM_003779)	46	NM_003779	8703	Hs.321231	NM_003779	ENSG00000158850	B4GALT3	beta4Gal-T3	beta-1,4-galactosyltransferase 3	protein-coding
1-585	chr11	47553002	47553285	+	1000	NA	promoter-TSS (NM_006560)	promoter-TSS (NM_006560)	-11	NM_006560	10658	Hs.595333	NM_006560	ENSG00000149187	CELF1	BRUNOL2|CUG-BP|CUGBP|CUGBP1|EDEN-BP|NAB50|NAPOR|hNab50	CUGBP Elav-like family member 1	protein-coding
1-696	chr1	89994743	89995010	+	1000	NA	promoter-TSS (NR_002830)	promoter-TSS (NR_002830)	90	NR_002830	492303	Hs.550796	NR_002830		GEMIN8P4	-	gem nuclear organelle associated protein 8 pseudogene 4	pseudo
1-553	chr6	43477468	43477742	+	1000	NA	promoter-TSS (NM_001146018)	promoter-TSS (NM_001146018)	35	NR_027394	93643	Hs.520145	NM_080604	ENSG00000137221	TJAP1	PILT|TJP4	tight junction associated protein 1	protein-coding
1-961	chr1	45686379	45686660	+	1000	NA	promoter-TSS (NM_021639)	promoter-TSS (NM_021639)	14	NM_021639	60313	Hs.238432	NM_021639	ENSG00000159592	GPBP1L1	SP192	GC-rich promoter binding protein 1 like 1	protein-coding
1-508	chr22	35399739	35400083	+	1000	NA	promoter-TSS (NM_006739)	promoter-TSS (NM_006739)	-229	NM_006739	4174	Hs.517582	NM_006739	ENSG00000100297	MCM5	CDC46|MGORS8|P1-CDC46	minichromosome maintenance complex component 5	protein-coding
1-548	chr20	3781279	3781564	+	1000	NA	promoter-TSS (NM_015417)	promoter-TSS (NM_015417)	27	NM_015417	25876	Hs.72620	NM_015417	ENSG00000101222	SPEF1	C20orf28|CLAMP|SPEF1A	sperm flagellar 1	protein-coding
1-715	chr22	50508110	50508395	+	1000	NA	promoter-TSS (NM_001363816)	promoter-TSS (NM_001363816)	28	NM_001185011	29781	Hs.730607	NM_014551	ENSG00000025770	NCAPH2	CAPH2	non-SMC condensin II complex subunit H2	protein-coding
1-316	chr11	78139434	78139709	+	1000	NA	promoter-TSS (NR_102280)	promoter-TSS (NR_102280)	55	NM_024079	79053	Hs.503368	NM_024079	ENSG00000159063	ALG8	CDG1H|PCLD3	ALG8 alpha-1,3-glucosyltransferase	protein-coding
1-641	chr14	69766987	69767269	+	1000	NA	promoter-TSS (NM_006925)	promoter-TSS (NM_006925)	-14	NM_006925	6430	Hs.632326	NM_006925	ENSG00000100650	SRSF5	HRS|SFRS5|SRP40	serine and arginine rich splicing factor 5	protein-coding
1-749	chr10	110567547	110567831	+	1000	NA	promoter-TSS (NM_005445)	promoter-TSS (NM_005445)	-2	NM_005445	9126	Hs.24485	NM_005445	ENSG00000108055	SMC3	BAM|BMH|CDLS3|CSPG6|HCAP|SMC3L1	structural maintenance of chromosomes 3	protein-coding
1-97	chr12	45727358	45727770	+	1000	NA	non-coding (NR_028408, exon 1 of 1)	non-coding (NR_028408, exon 1 of 1)	357	NR_028408	400027	Hs.597122	NR_028408		LINC00938	-	long intergenic non-protein coding RNA 938	ncRNA
1-314	chr11	33161350	33161617	+	1000	NA	promoter-TSS (NM_001033506)	promoter-TSS (NM_001033506)	-3	NM_001326	1479	Hs.44402	NM_001326	ENSG00000176102	CSTF3	CSTF-77	cleavage stimulation factor subunit 3	protein-coding
1-39	chr1	161202052	161202539	+	1000	NA	5' UTR (NM_004550, exon 2 of 15)	5' UTR (NM_004550, exon 2 of 15)	148	NM_001166159	4720	Hs.173611	NM_004550	ENSG00000158864	NDUFS2	CI-49|MC1DN6	NADH:ubiquinone oxidoreductase core subunit S2	protein-coding
1-341	chr11	64247397	64247692	+	1000	NA	promoter-TSS (NM_138689)	promoter-TSS (NM_138689)	490	NR_135086	105369340	Hs.697228	NR_135086	ENSG00000256940	PPP1R14B-AS1	-	PPP1R14B antisense RNA 1	ncRNA
1-349	chr2	73214136	73214440	+	1000	NA	promoter-TSS (NM_006062)	promoter-TSS (NM_006062)	43	NM_006062	10322	Hs.631882	NM_006062	ENSG00000135632	SMYD5	NN8-4AG|RAI15|RRG1|ZMYND23	SMYD family member 5	protein-coding
1-90	chr16	28492139	28492496	+	1000	NA	promoter-TSS (NM_001286105)	promoter-TSS (NM_001286105)	-15	NM_001042432	1201	Hs.534667	NM_000086	ENSG00000188603	CLN3	BTN1|BTS|JNCL	CLN3 lysosomal/endosomal transmembrane protein, battenin	protein-coding
1-403	chr3	123584917	123585630	+	1000	NA	promoter-TSS (NM_198402)	promoter-TSS (NM_198402)	-220	NM_198402	201562	Hs.705480	NM_198402	ENSG00000206527	HACD2	PTPLB	3-hydroxyacyl-CoA dehydratase 2	protein-coding
1-381	chr1	228165676	228165991	+	1000	NA	promoter-TSS (NR_103539)	promoter-TSS (NR_103539)	29	NM_001010867	200205	Hs.237017	NM_001010867	ENSG00000181873	IBA57	C1orf69|MMDS3|SPG74	iron-sulfur cluster assembly factor IBA57	protein-coding
1-954	chr19	51926955	51927515	+	1000	NA	promoter-TSS (NM_024840)	promoter-TSS (NM_024840)	-237	NM_024840	79898	Hs.183390	NM_024840	ENSG00000176024	ZNF613	-	zinc finger protein 613	protein-coding
1-724	chr14	92039885	92040175	+	1000	NA	promoter-TSS (NM_001321851)	promoter-TSS (NM_001321851)	29	NM_001321851	9321	Hs.632339	NM_004239	ENSG00000100815	TRIP11	ACG1A|CEV14|GMAP-210|GMAP210|ODCD|TRIP-11|TRIP230	thyroid hormone receptor interactor 11	protein-coding
1-153	chr1	27914522	27914848	+	1000	NA	promoter-TSS (NM_002946)	promoter-TSS (NM_002946)	-110	NM_002946	6118	Hs.79411	NM_002946	ENSG00000117748	RPA2	REPA2|RP-A p32|RP-A p34|RPA32	replication protein A2	protein-coding
1-327	chr4	17614523	17614816	+	1000	NA	promoter-TSS (NM_025205)	promoter-TSS (NM_025205)	28	NM_025205	80306	Hs.731966	NM_025205	ENSG00000118579	MED28	1500003D12Rik|EG1|magicin	mediator complex subunit 28	protein-coding
1-643	chr9	136482865	136483152	+	1000	NA	promoter-TSS (NM_152571)	promoter-TSS (NM_152571)	-2	NM_152571	158055	Hs.212613	NM_152571		C9orf163	-	chromosome 9 open reading frame 163	protein-coding
1-737	chr9	130053801	130054089	+	1000	NA	promoter-TSS (NM_001136557)	promoter-TSS (NM_001136557)	39	NM_001136557	57720	Hs.512461	NM_020960	ENSG00000148358	GPR107	GCDRP|LUSTR1|bA138E2.2	G protein-coupled receptor 107	protein-coding
1-911	chr7	149008	149271	+	1000	NA	promoter-TSS (NR_108064)	promoter-TSS (NR_108064)	299	NR_134325	102723672	Hs.605204	NR_134325		LOC102723672	-	uncharacterized LOC102723672	ncRNA
1-385	chr11	33039105	33039740	+	1000	NA	promoter-TSS (NM_018393)	promoter-TSS (NM_018393)	-150	NM_018393	55346	Hs.655341	NM_018393	ENSG00000176148	TCP11L1	dJ85M6.3	t-complex 11 like 1	protein-coding
1-502	chr4	146521827	146522103	+	1000	NA	promoter-TSS (NM_001300842)	promoter-TSS (NM_001300842)	6	NM_032128	84068	Hs.659209	NM_032128	ENSG00000120519	SLC10A7	C4orf13|P7|SSASKS	solute carrier family 10 member 7	protein-coding
1-852	chrX	47836570	47836912	+	1000	NA	promoter-TSS (NM_007137)	promoter-TSS (NM_007137)	-161	NM_007137	347344	Hs.114246	NM_007137	ENSG00000197779	ZNF81	HFZ20|MRX45|dJ54B20.6	zinc finger protein 81	protein-coding
1-267	chr13	21603959	21604281	+	1000	NA	promoter-TSS (NM_152726)	promoter-TSS (NM_152726)	50	NM_152726	221154	Hs.412103	NM_152726	ENSG00000165487	MICU2	1110008L20Rik|EFHA1	mitochondrial calcium uptake 2	protein-coding
1-165	chr19	38335647	38335933	+	1000	NA	promoter-TSS (NM_021185)	promoter-TSS (NM_021185)	-40	NM_001330496	57828	Hs.324335	NM_021185	ENSG00000099338	CATSPERG	C19orf15	cation channel sperm associated auxiliary subunit gamma	protein-coding
1-155	chr7	100119196	100119491	+	1000	NA	promoter-TSS (NM_001365001)	promoter-TSS (NM_001365001)	14	NM_001364999	6878	Hs.489309	NM_005641	ENSG00000106290	TAF6	ALYUS|MGC:8964|TAF(II)70|TAF(II)80|TAF2E|TAFII-70|TAFII-80|TAFII70|TAFII80|TAFII85	TATA-box binding protein associated factor 6	protein-coding
1-662	chr14	77097866	77098148	+	1000	NA	promoter-TSS (NM_033426)	promoter-TSS (NM_033426)	-251	NM_033426	85457	Hs.709066	NM_033426	ENSG00000198894	CIPC	KIAA1737	CLOCK interacting pacemaker	protein-coding
1-317	chr11	119334406	119334696	+	1000	NA	promoter-TSS (NM_032015)	promoter-TSS (NM_032015)	24	NM_032015	79102	Hs.524084	NM_032015	ENSG00000173456	RNF26	-	ring finger protein 26	protein-coding
1-193	chr16	30585558	30585887	+	1000	NA	promoter-TSS (NM_152458)	promoter-TSS (NM_152458)	-25	NM_152458	146540	Hs.513509	NM_152458	ENSG00000197162	ZNF785	ZNF688	zinc finger protein 785	protein-coding
1-496	chr19	49487117	49487484	+	1000	NA	promoter-TSS (NM_001270491)	promoter-TSS (NM_001270491)	-254	NR_073024	23521	Hs.523185	NM_012423	ENSG00000142541	RPL13A	L13A|TSTA1	ribosomal protein L13a	protein-coding
